gene_id,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000167766,ZNF83,2572.7513205441683,0.0048772339957850715,0.07599953278801917,0.06417452603805922,0.9488312608504815,0.9709441924646192
ENSG00000167767,KRT80,2282.390481219697,1.112417448910069,0.12603700972267634,8.826117434535778,1.0837223457499077e-18,1.2342242865159262e-15
ENSG00000167768,KRT1,2.486390808028318,0.5832438983156184,0.25046502262228054,2.328644104511122,0.019877927520914614,0.06507646340030653
ENSG00000167769,ACER1,3.005071011947412,-0.14875138156150058,0.16483690822197924,-0.902415503700076,0.36683618838302506,0.5269185736020403
ENSG00000167770,OTUB1,13909.242341431594,-0.13834942270332884,0.04965276099436311,-2.7863389655015385,0.005330709692577921,0.024406078396521324
ENSG00000167771,RCOR2,1295.8209690984609,-0.19843359809430913,0.14746297698630226,-1.345650292362818,0.17841532415505837,0.3212216220485598
ENSG00000167772,ANGPTL4,985.8944831268502,-0.18787666718984325,0.14384354513883293,-1.306118164763744,0.19151237660425377,0.33733576863051834
ENSG00000167774,NA,2.469124769440585,-0.10361843059041827,0.15893333814886404,-0.6519615821154189,0.5144259562487279,0.6606900038599042
ENSG00000167775,CD320,3618.340053581354,-0.1800638884889114,0.08973440279929455,-2.0066316025042625,0.04478890375595743,0.11821312344163619
ENSG00000167778,SPRYD3,2890.625449931747,0.25721039380667254,0.05249946690208667,4.899295344967576,9.618097457463903e-7,2.9307854827743688e-5
ENSG00000167779,IGFBP6,920.0230962014032,0.21678011141786488,0.13741120234258133,1.5776014453130836,0.11465720014460899,0.2333352134280841
ENSG00000167780,SOAT2,8.752014461043194,0.1580855439281766,0.19540566027219047,0.8090121018396867,0.41850818528977773,0.5757686789241473
ENSG00000167785,ZNF558,1344.1090592335163,-0.10815424555703507,0.07667976441974567,-1.4104665862690686,0.15840195602352591,0.2949218803168171
ENSG00000167792,NDUFV1,10182.7106893176,0.05218072200701404,0.059444490091420686,0.8778058643747204,0.3800490814390516,0.5399387464511459
ENSG00000167797,CDK2AP2,8933.065993354918,-0.09651939069951446,0.07757146197401701,-1.244264169364813,0.2134023535928271,0.36423190243423914
ENSG00000167799,NUDT8,685.7372094169525,-0.15746844808053723,0.10715767708275893,-1.4695022546907468,0.1416966107180262,0.27173180809344066
ENSG00000167800,TBX10,24.41478703644122,-1.0005441146315035,0.23654932332575287,-4.229748369449575,2.339528534532339e-5,3.707033822282459e-4
ENSG00000167807,NA,23.905922089033286,-0.24475054004353514,0.11791669684574492,-2.075622423207041,0.03792888590140237,0.10430729835426411
ENSG00000167815,PRDX2,19791.433325094607,-0.23351599423255204,0.08759076892557972,-2.6659886321006687,0.00767622885819093,0.03231890994777152
ENSG00000167840,ZNF232,485.13572797127966,-0.3013905222331152,0.07957191934839716,-3.7876492700082918,1.5207932025719035e-4,0.001611156612631699
ENSG00000167842,MIS12,1203.0954397006237,-0.2645937503054956,0.06304752733382583,-4.196734772872489,2.7079073877410726e-5,4.18519833922119e-4
ENSG00000167850,CD300C,99.8293104440013,0.1796867924764438,0.12265280394933178,1.465003544074483,0.1429199508246391,0.2734734163526802
ENSG00000167851,CD300A,450.5646027478779,0.09083975759453759,0.10717706035325991,0.847567168712466,0.3966790650356723,0.5564928726676435
ENSG00000167858,TEKT1,233.28876294738959,-0.5946813746666785,0.23558510573707708,-2.5242740741444325,0.011593750021240957,0.04362378064677138
